System Y Matrix (Lower Triangle by Columns)

  Row  Col               G               B

[   1,   1] =   78.11053251 + j -280.7345366
[   2,   1] =   8.473556114 + j -2.220093232
[   3,   1] =   8.473556114 + j -2.220093232
[   4,   1] = -0.02332193351 + j0.06984433214
[   5,   1] = 0.006663409575 + j-0.01995552347
[   6,   1] = 0.006663409575 + j-0.01995552347
[   7,   1] = -0.006878181487 + j 0.0251388403
[   8,   1] = 0.001965194711 + j-0.007182525801
[   9,   1] = 0.001965194711 + j-0.007182525801
[   2,   2] =   78.11053251 + j -280.7345366
[   3,   2] =   8.473556114 + j -2.220093232
[   4,   2] = 0.006663409575 + j-0.01995552347
[   5,   2] = -0.02332193351 + j0.06984433214
[   6,   2] = 0.006663409575 + j-0.01995552347
[   7,   2] = 0.001965194711 + j-0.007182525801
[   8,   2] = -0.006878181487 + j 0.0251388403
[   9,   2] = 0.001965194711 + j-0.007182525801
[   3,   3] =   78.11053251 + j -280.7345366
[   4,   3] = 0.006663409575 + j-0.01995552347
[   5,   3] = 0.006663409575 + j-0.01995552347
[   6,   3] = -0.02332193351 + j0.06984433214
[   7,   3] = 0.001965194711 + j-0.007182525801
[   8,   3] = 0.001965194711 + j-0.007182525801
[   9,   3] = -0.006878181487 + j 0.0251388403
[   4,   4] = 0.04248225638 + j-0.1363002372
[   5,   4] = -0.01243786625 + j0.03908869615
[   6,   4] = -0.01243786625 + j0.03908869615
[  10,   4] = -0.007613197771 + j0.02320021847
[  11,   4] = 0.002175199363 + j-0.006628633849
[  12,   4] = 0.002175199363 + j-0.006628633849
[  13,   4] = -0.005070736097 + j0.02130353746
[  14,   4] = 0.001448781742 + j-0.006086724988
[  15,   4] = 0.001448781742 + j-0.006086724988
[  16,   4] = -0.007526664476 + j0.02283908687
[  17,   4] = 0.002150475565 + j-0.006525453392
[  18,   4] = 0.002150475565 + j-0.006525453392
[   5,   5] = 0.04248225638 + j-0.1363002372
[   6,   5] = -0.01243786625 + j0.03908869615
[  10,   5] = 0.002175199363 + j-0.006628633849
[  11,   5] = -0.007613197771 + j0.02320021847
[  12,   5] = 0.002175199363 + j-0.006628633849
[  13,   5] = 0.001448781742 + j-0.006086724988
[  14,   5] = -0.005070736097 + j0.02130353746
[  15,   5] = 0.001448781742 + j-0.006086724988
[  16,   5] = 0.002150475565 + j-0.006525453392
[  17,   5] = -0.007526664476 + j0.02283908687
[  18,   5] = 0.002150475565 + j-0.006525453392
[   6,   6] = 0.04248225638 + j-0.1363002372
[  10,   6] = 0.002175199363 + j-0.006628633849
[  11,   6] = 0.002175199363 + j-0.006628633849
[  12,   6] = -0.007613197771 + j0.02320021847
[  13,   6] = 0.001448781742 + j-0.006086724988
[  14,   6] = 0.001448781742 + j-0.006086724988
[  15,   6] = -0.005070736097 + j0.02130353746
[  16,   6] = 0.002150475565 + j-0.006525453392
[  17,   6] = 0.002150475565 + j-0.006525453392
[  18,   6] = -0.007526664476 + j0.02283908687
[   7,   7] = 0.04359901565 + j-0.1301357236
[   8,   7] = -0.01241750703 + j0.03716195801
[   9,   7] = -0.01241750703 + j0.03716195801
[  10,   7] = -0.03658309311 + j 0.1050378204
[  11,   7] = 0.01045231232 + j-0.03001080582
[  12,   7] = 0.01045231232 + j-0.03001080582
[   8,   8] = 0.04359901565 + j-0.1301357236
[   9,   8] = -0.01241750703 + j0.03716195801
[  10,   8] = 0.01045231232 + j-0.03001080582
[  11,   8] = -0.03658309311 + j 0.1050378204
[  12,   8] = 0.01045231232 + j-0.03001080582
[   9,   9] = 0.04359901565 + j-0.1301357236
[  10,   9] = 0.01045231232 + j-0.03001080582
[  11,   9] = 0.01045231232 + j-0.03001080582
[  12,   9] = -0.03658309311 + j 0.1050378204
[  10,  10] = 0.07325956639 + j -0.253611869
[  11,  10] = -0.02080668183 + j 0.0650601419
[  12,  10] = -0.02080668183 + j 0.0650601419
